Product Name,Quantity Sold,Price,Date,Customer ID,Customer Review
Brownie,4,5,2025-03-19,CUST005,"Highly recommend, my family loved it!"
Brownie,4,5,2025-03-09,CUST003,"Soft, moist, and flavorful!"
Brownie,4,5,2025-03-07,CUST004,Portion size is too small for the price.
Brownie,5,5,2025-03-15,CUST008,Mouthwatering and worth every penny.
Tres Leche,5,10,2025-03-08,CUST001,Great balance of flavors.
Brownie,4,5,2025-03-02,CUST011,Best dessert Iâ€™ve had in a while!
Tres Leche,3,10,2025-03-06,CUST006,Perfect texture and sweetness.
Tres Leche,5,10,2025-03-10,CUST008,"Not fresh, tasted stale."
Tres Leche,3,10,2025-03-06,CUST003,Too dry and lacked flavor.
Brownie,1,5,2025-03-07,CUST010,Way too sweet for my liking.
Brownie,1,5,2025-03-14,CUST003,Would definitely order again!
Tres Leche,2,10,2025-03-13,CUST003,"Disappointed, expected better quality."
Brownie,4,5,2025-03-20,CUST002,"Excellent quality, tasted homemade."
Tres Leche,5,10,2025-03-10,CUST008,Loved the freshness and taste.
Brownie,5,5,2025-03-16,CUST013,Absolutely delicious! Will buy again.